name,age,net_worth,country,self_made
Nbtr Lovmnlg,34,35.46,UK,False
Tshwj Hytgsa,50,87.65,India,True
Nupzwjb Nmpgtkzg,59,132.87,India,False
Kmbz Kkaqeifg,79,41.44,UK,True
Vjruy Fydefb,67,78.84,France,False
Pyytw Cbsfsw,87,26.77,China,True
Wjmakq Crlzpf,52,54.72,Germany,False
Ogygxem Kgyiaud,47,124.58,Brazil,False
Uyoxr Crknijp,65,35.5,Germany,True
Lttcv Zrhvdqu,87,107.61,China,False
Vwqadwpi Illgm,69,27.6,China,False
Hhhan Ytbrvafun,83,28.12,China,False
Ewcrsh Keainkwkm,87,39.79,India,True
Uqeo Wiriher,58,83.96,Germany,False
Glnklj Prpkjeh,81,31.19,Germany,True
Ngeytlsr Idrfclufg,84,27.89,Germany,True
Zvrd Kjcix,55,73.66,India,True
Qqzoxm Uqipwmy,51,130.66,Brazil,True
Kbodpqqn Ccoemqym,42,58.43,China,False
Xctmu Gwdyg,50,72.45,United States,True
Atqzni Zbtnfo,68,148.27,Germany,True
Bwqspo Hqcrtb,64,71.16,Brazil,False
Qvcf Lkgpvpo,58,114.32,China,True
Jsjbxvv Rfiidphd,86,76.37,China,True
Vzqxgv Gxgokjpa,52,73.15,Germany,False
Ciwa Bmvbh,60,42.99,Germany,True
Mctjh Lpagatao,71,136.31,China,True
Iyjs Vspsdkoms,56,37.89,China,True
Jebcale Ryobxjcy,86,34.2,India,False
Ublwgrf Gzmwjbkep,64,61.08,UK,True
Eslcgw Ipawpokbz,88,28.45,India,True
Khxuk Brbmnxdyj,52,96.05,China,False
Pusdm Qomai,53,44.61,China,False
Wlovfspf Zxdao,79,99.71,United States,False
Bwnbd Dicvcebg,57,77.78,China,False
Kfsdtfmd Kzcqejcw,33,143.42,UK,True
Gsozg Hhrdqyqc,64,52.57,UK,True
Vtdyqxvy Rifwj,37,145.24,Germany,False
Mdrjs Tgxqnyg,82,95.1,Germany,True
Onbsawn Gzobr,31,24.64,India,True
Widdtox Tvamaldt,86,125.78,France,True
Ycenyn Kzlnjla,80,122.6,India,True
Zverz Nerxcl,61,61.11,India,True
Aoendquh Kinhrwxh,80,10.42,China,False
Qpdxl Uqhxcsobb,77,30.08,United States,False
Mbzm Bjlyb,85,100.04,Brazil,True
Pkvo Dyizqg,41,114.41,United States,True
Mkle Lcrktnck,40,106.89,UK,True
Hvri Laeksso,76,21.94,United States,True
Snmhym Slqwlchdt,66,72.97,Brazil,True
Izbt Hikade,86,98.57,United States,True
Gsmjitq Hrcpkduv,44,89.8,India,True
Kdrcj Zwspxtwp,38,4.37,UK,True
Sfgarc Tckucwqt,85,48.42,Germany,False
Mivot Mozbubd,71,99.14,France,False
Zddtsmh Tutys,55,107.2,China,False
Jvtxvfh Xcpvrasmq,59,89.35,China,False
Fhghrwhz Ucnbvicrj,47,53.8,China,True
Vrge Ghbyjo,42,109.0,Brazil,True
Nclgvghi Kjmguac,81,12.32,India,False
Lkwxpp Ptqgfhf,53,23.93,France,True
Nwuha Mnyks,78,38.41,China,False
Dpip Cikaxcjtc,88,122.74,UK,True
Vtiuw Qninvcdch,80,145.49,Germany,True
Aefn Raztel,40,47.7,Germany,True
Wlbwu Bfykjnhlc,78,39.93,India,True
Okoca Zyshyqc,58,14.85,China,True
Zcaxttw Clyagw,68,104.1,UK,False
Mcpzg Knvavavnw,57,33.52,United States,True
Snmu Luyhgs,30,59.66,Brazil,True
Xbwkd Fneorg,84,94.86,United States,True
Gfnhyfxw Qohfslxbh,36,119.06,United States,False
Eqhl Cqnzblsm,40,62.37,China,True
Cdzxa Ituctx,41,112.85,China,False
Mgecez Fhffacpl,39,129.46,India,True
Hytoej Jcpmcb,33,101.25,India,True
Wsqvljzt Pcqrouscl,30,37.79,France,False
Cawlod Admbqu,89,34.23,India,True
Jxqku Fujebv,83,29.3,Brazil,True
Vmbu Abrssgey,37,91.05,Germany,False
Yynbysl Xfihst,87,5.89,France,True
Ewfs Meuadmja,40,53.39,India,False
Silwus Stlawwz,61,93.92,China,False
Ofvxeng Fkwrevbxp,62,82.59,China,True
Rxghle Aqdhczwyg,56,147.79,Brazil,False
Jvwurloi Sbidquqd,77,12.63,India,False
Peaqbwu Jkrzzyak,80,17.78,UK,False
Kufb Xpkzbgan,72,106.28,China,False
Bwxrnns Zaqfpjl,89,34.66,France,False
Ksinwnp Smksxsh,72,59.15,UK,True
Lniwbtlv Bllje,58,66.4,Germany,False
Uvvkic Yyrvkmep,63,79.12,Germany,False
Fndan Dblqdwehf,88,105.85,Germany,False
Iepjqm Vpsufta,89,77.93,Brazil,False
Grpfgmlz Pxhyhb,88,68.72,India,True
Eksyhj Hftvn,82,149.44,Brazil,True
Swhxkb Zdafiqhw,42,4.0,Germany,False
Rxtfqhn Dfzytu,85,96.47,Germany,True
Mfzr Anmnkggg,56,116.46,Germany,True
Kdvrw Mclwrirfg,54,58.42,India,False
Fjhvpww Biwwsxijh,44,70.94,Brazil,True
