name,age,net_worth,country,self_made
Aaalno Ocxduduhr,38,2.91,UK,False
Aaapgliq Ejbcib,88,11.02,China,False
Aaas Chiilottf,49,25.36,China,False
Aaasip Xnsmivz,64,66.16,Brazil,False
Aaav Xmajagofy,30,18.55,Germany,False
Aaavrpp Xkzzfitz,67,12.21,UK,False
Aaavw Bbnkjor,68,44.91,France,False
Aaaxw Xgrwltyqe,45,135.26,Germany,False
Aaayb Acmtttqj,34,90.86,France,True
Aaaypw Btkah,39,26.79,UK,True
Aaba Zaknh,42,58.65,United States,False
Aabi Lpyjeotv,40,126.95,China,False
Aabjgn Bytgtls,71,140.86,United States,True
Aabkct Aholg,57,16.21,United States,True
Aabovgjt Lvlvw,39,32.92,China,False
Aabs Utqyvf,46,126.98,Brazil,True
Aacarxy Nnxqq,37,6.81,UK,False
Aaccli Nnpaot,44,55.4,India,False
Aacggwq Zwbtosnf,44,129.66,Germany,False
Aacgq Hperwjoc,90,52.66,UK,True
Aachcr Fsxpncvv,83,135.62,United States,True
Aacmrmi Lcshlpwe,60,26.17,China,True
Aactyfui Fznxvxqfj,31,3.65,Germany,False
Aacwxpuh Daahqdhf,59,74.3,Brazil,False
Aadakcr Muzorcnka,64,45.11,France,True
Aadifyz Jtkio,81,63.44,China,True
Aadlhy Ocqbytced,76,147.48,Brazil,False
Aadnb Lpmvqvg,53,25.04,India,True
Aadrtyuy Sujuzr,77,118.27,India,False
Aadw Hzpagvx,69,66.78,Brazil,True
Aadwq Fuamck,56,118.93,India,True
Aadzeez Xunrvg,89,20.1,United States,True
Aaekg Ewpgda,89,13.34,France,False
Aaekv Tplvz,88,56.89,France,True
Aaemlqq Riztw,45,63.51,UK,True
Aaetdhg Aeiqgydj,47,111.15,United States,False
Aaetkf Ajarjg,43,8.3,Germany,False
Aafhzdnq Zdspkpbt,83,37.5,Brazil,True
Aafmufcc Ogbnbk,76,65.63,India,True
Aafnz Xbxtzlm,42,137.68,France,False
Aafo Nqspqu,51,115.73,Germany,False
Aagcyd Yijtkh,32,132.86,Brazil,True
Aagiph Wktptuvx,41,148.13,India,True
Aagjsl Tdloi,90,56.66,France,True
Aagke Aefbduzn,79,148.69,France,True
Aagkmnxc Yofqmiu,37,47.3,Germany,True
Aagn Gwbbqgxdl,60,105.27,France,False
Aagqvwee Tdohjbgw,78,136.37,China,False
Aagu Rxvhiwwz,66,125.52,China,False
Aagwmco Ckcdbjpm,31,120.06,China,False
Aagwr Djojkowb,56,110.34,China,False
Aahamhp Humrpgnjs,65,59.18,Brazil,False
Aahds Uhibwy,76,96.52,India,True
Aahhe Wwagaxljq,66,33.84,Brazil,False
Aahibfev Fqnaf,55,147.09,Germany,False
Aahrs Rwtwnjhjl,33,9.22,UK,False
Aaiayr Mnkpo,50,108.88,Brazil,False
Aaihnys Mbnlfyp,52,125.28,India,False
Aaiizqo Imjfdkfsu,83,121.89,China,True
Aailwd Yyasog,49,14.9,Brazil,False
Aaiv Mphkh,45,73.35,Brazil,False
Aaixbwxq Zcsyu,66,55.12,United States,False
Aajoehrj Luvexexl,84,13.49,United States,False
Aajqrwxs Vhecle,70,79.57,Germany,True
Aajs Bsbfc,33,38.85,China,False
Aajxb Qljscsey,78,55,India,True
Aajyn Iswszywcb,81,55.18,France,False
Aakafd Pueitrxea,42,121.52,Germany,False
Aakgvnx Pyasxadak,58,21.43,India,False
Aaklxozl Hehgtui,41,83.08,Germany,False
Aakp Ktosbm,58,6.54,Brazil,False
Aakqtp Vqursal,36,99.9,United States,False
Aakyzhwr Dqbyw,72,101.5,France,False
Aakz Savpwl,70,81.89,France,False
Aald Ckgwql,84,117.21,United States,False
Aale Kpgqyd,83,6.82,UK,False
Aalendm Knkgohlng,77,124.46,UK,False
Aalhr Yczbmichb,33,130.14,France,False
Aaljqj Xzwqlbhrr,55,33.18,UK,True
Aalqa Ylvqv,35,11.71,Brazil,False
Aalsn Irvnpyind,72,110.46,Germany,False
Aalt Isrmdxkfx,48,93.71,France,False
Aalwrx Bnwjptgo,33,118.63,UK,False
Aamcid Rhloccji,53,113.05,China,True
Aamfky Ypbvl,49,92.12,Germany,True
Aami Daksd,47,139.35,Brazil,False
Aamporix Rvygg,50,130.8,India,False
Aamvub Yavbwib,69,19.43,United States,True
Aamw Jxxmrsd,37,94.82,China,False
Aanoxttd Bliutxab,31,110.65,Germany,False
Aaodwjc Uydcp,70,75.32,UK,False
Aaoeen Oadzxbi,77,132.95,France,True
Aaoon Jduoofixu,41,126.1,China,False
Aaotszh Fyhhfjm,38,26,India,False
Aaozkbp Gplxubl,65,144.5,UK,True
Aaphetrm Rzwnioo,64,30.73,Brazil,False
Aapix Pghpbl,60,49.4,United States,True
Aapkx Axsyyvnk,59,106.92,India,False
Aappkrv Npgkk,49,91.79,UK,True
Aapyu Uktjmhl,46,31.56,France,True
Aapzjbb Ocstahstr,86,96.98,France,False
Aaqb Lxqninub,45,13.29,France,True
Aaqdio Sxzru,61,104.22,France,True
Aaqe Ldkitdt,76,54.59,UK,True
Aaqg Crbxb,36,84.43,United States,True
Aaqg Tyxurgp,86,87.49,Brazil,False
Aaqhmqh Xtnzubtn,73,7.8,Germany,False
Aaqlfaf Aprom,69,120.99,China,True
Aaqnw Bdcptlo,36,97.05,France,False
Aaqzg Rhfoxkegr,57,32.21,United States,False
Aarec Csowkdj,63,24.48,UK,True
Aarj Gyoosxaca,31,114.74,UK,False
Aarlin Tplmhjdwr,74,26.79,UK,True
Aarmd Zsvsj,58,103.04,UK,True
Aartqbb Iwnmkfk,87,124.32,India,False
Aarwepnb Sdjkrlswf,50,61.23,France,False
Aasu Xpapqmspl,44,115.28,UK,True
Aasxlxck Fpcddfxs,51,23.78,Brazil,False
Aategwwh Pudsnigrm,87,66.78,India,False
Aathyne Zaqnqir,48,1.08,Germany,True
Aatqptwo Aunpy,78,110.12,Brazil,False
Aatsoz Xqncqu,40,68.06,United States,True
Aatyih Umfqco,65,101.14,China,True
Aauf Uyatkx,83,80.36,China,False
Aauwr Kkntnamhz,36,113.63,India,False
Aauz Xzhugsav,81,61.62,India,False
Aavnejxe Rcrqpor,81,96.54,China,False
Aavqf Ykownoz,62,4.43,India,True
Aavss Tnxryvsd,80,80.31,Germany,False
Aavvrubx Nxgvfx,68,28,France,False
Aavxrvqr Ugzdqc,84,19.06,UK,False
Aawcvd Afycfjgnq,33,93.74,UK,False
Aawf Kbizlnbi,59,18.52,UK,False
Aawry Eudrfj,51,85.03,India,False
Aawv Thimqpf,71,119.15,Germany,True
Aawviho Zzirh,71,46.3,UK,True
Aaxfvda Qwgdsewy,31,55.16,UK,False
Aaxipeb Qaktpk,52,131.56,Germany,True
Aaxnal Nnqkolpd,33,142.43,Brazil,False
Aaxs Ssciu,50,110.76,France,False
Aaxtax Eaunzh,44,10.75,United States,True
Aaxvwk Sgnaps,37,45.94,United States,False
Aaxxdhiu Ertlesluc,81,110.25,Brazil,False
Aaycwpl Nhmmun,68,72.5,India,False
Aayfgocb Mssyqe,44,99.88,UK,True
Aayfzj Vckzwkt,69,3.75,France,True
Aayjeu Fgkxhme,38,149.12,France,False
Aaypgm Zdyifg,47,59.72,UK,True
Aaypkvhr Zptbffjmf,61,114.5,United States,False
Aayqhhs Khyvzx,83,121.53,France,False
Aayqyna Htxjhru,65,38.05,United States,True
Aayvh Oqlyr,82,7.89,Brazil,True
Aazapd Ckulzoq,66,105.64,France,True
Aazfw Mbzbwxjco,37,4.04,India,True
Aazlbx Ybuiigil,79,110.6,Brazil,True
Aaztcmw Ybtfb,31,138.31,China,True
Aazyzytu Nqxixt,45,95.09,Germany,True
Aazztu Yzhyitxg,56,99.6,China,True
Abakupk Djibpti,73,93.18,China,True
Abalfliv Frjuagt,69,30.35,India,False
Abalrpq Mclhelrc,76,33.63,UK,True
Abanlrap Vdbengqno,82,87.95,France,False
Abaodcr Tjgqlk,42,72.83,United States,True
Abav Mkkxjq,53,118.03,Germany,False
Abavkme Tyeds,62,108.67,India,True
Abbahixh Kiuvuqnz,65,66.26,United States,False
Abbgmsgw Kyjfsruvt,30,81.09,Brazil,True
Abbn Fndlpno,37,44.18,India,True
Abbxwfhv Aepayn,52,147.39,France,False
Abbygbc Pkmwjd,41,136.53,France,True
Abcez Rfwvt,64,49.85,UK,True
Abcj Suzveh,37,34.15,China,True
Abcmuhf Cgtbrtaeu,74,91.42,United States,True
Abcqaxoz Sywrirxkw,79,71.37,France,False
Abcscudl Yshdcrzi,87,2.42,China,False
Abcyz Cbbcxtwdp,67,50.76,Germany,False
Abdibert Olqcbwbve,48,71.56,China,True
Abdxhfi Nhhdosxq,39,147.98,Brazil,False
Abdzfle Gffojcfs,34,137.63,United States,True
Abebhjqi Qzqbhs,73,34.16,United States,False
Abec Jdmwl,77,55.18,United States,True
Abeepy Lgnkalts,51,66.55,United States,False
Abekq Hqnvcij,52,62.1,UK,True
Abertddb Miywixs,30,55.66,China,False
Abevcwae Geoqys,55,119.37,France,True
Abevjkbg Hzmictdi,58,63.44,China,True
Abezfsb Fqtujz,31,113.04,France,False
Abfbtoju Gzhip,44,58.1,China,True
Abfbv Yqamqlo,34,66.53,Germany,True
Abfhcca Clujuzm,78,99,United States,False
Abflk Jygogm,45,25.01,India,True
Abfwfh Tsuxhwr,90,140.25,China,True
Abfzph Ytezocbsl,89,9.37,Germany,False
Abgcu Kidhw,79,45.81,China,True
Abghbjk Jtpwx,40,78.07,UK,False
Abgyh Vitxzqqny,64,14.37,Germany,False
Abhfe Bcubp,86,8.74,Brazil,True
Abhiedq Wmtflfb,62,60.75,China,False
Abhqkkmn Blwev,90,67.78,India,True
Abhrnew Llzkrl,59,2.62,Germany,False
Abhym Gjojgq,63,123.05,Brazil,True
Abiijngb Ydeanfgn,83,106.13,China,True
Abipfza Vcphguil,60,118.18,Germany,True
Abivkjv Wokxly,38,133.4,China,True
Abjbx Ysslrw,75,65.27,Germany,False
Abji Mlgpce,51,93.11,France,True
Abjop Jqrbqm,90,1.74,China,True
Abjqvlql Yfozn,80,128.97,Germany,False
Abjxhl Xatcopgaf,67,121.01,India,True
Abkemdxz Ftydjj,36,122.34,India,False
Abkfo Badtycoxf,61,106.88,Brazil,False
Abkjb Pjcsp,45,57,France,False
Abku Trbwpued,76,86.92,France,True
Abkutr Kgxswh,44,102.27,India,False
Ablk Ywtqlhap,36,11.35,China,True
Ablmq Snvewjg,75,63.87,United States,True
Ablptxls Dqbbf,87,49.59,UK,False
Abmdw Mcnkptn,77,113.33,France,False
Abmor Xwtondmxb,71,118.57,Germany,True
Abmpn Tdnycarx,52,139.87,France,True
Abmta Rtoat,39,103.03,India,False
Abmtro Mftdlbblj,35,35.7,United States,False
Abmxmrgv Unmwspraw,85,107.06,Germany,True
